seed,sample_idx,e_y_mse,e_y_nll,e_G,nmse
0.0,0.0,0.3033464848995209,964.0580444335938,0.10261228680610657,0.05765506997704506
0.0,1.0,0.29775890707969666,985.8687744140625,0.06269682943820953,0.010174770839512348
0.0,2.0,0.28453701734542847,943.0560302734375,0.11696358770132065,0.06056391820311546
0.0,3.0,0.24927105009555817,860.6298217773438,0.10447140783071518,0.059146616607904434
0.0,4.0,0.25329118967056274,826.3179931640625,0.12289794534444809,0.08591710031032562
0.0,5.0,0.2764963209629059,909.6975708007812,0.10919095575809479,0.04490472748875618
0.0,6.0,0.2776309549808502,927.7409057617188,0.09325948357582092,0.045946963131427765
0.0,7.0,0.23263193666934967,741.2296142578125,0.121761754155159,0.09441975504159927
0.0,8.0,0.29741111397743225,952.9734497070312,0.07977821677923203,0.05065185949206352
0.0,9.0,0.30963850021362305,980.3831176757812,0.06946364790201187,0.013168719597160816
0.0,10.0,0.28881531953811646,948.4481811523438,0.0903070792555809,0.04462900012731552
0.0,11.0,0.25542983412742615,839.9119873046875,0.09231702238321304,0.08230532705783844
0.0,12.0,0.27037692070007324,838.870849609375,0.1517048329114914,0.06425152719020844
0.0,13.0,0.2794170379638672,930.018310546875,0.05138406157493591,0.048541996628046036
0.0,14.0,0.2857893109321594,902.1255493164062,0.15451256930828094,0.05309560149908066
0.0,15.0,0.2581750452518463,827.95849609375,0.09877122193574905,0.08358443528413773
0.0,16.0,0.2820415198802948,926.9591064453125,0.0739336833357811,0.045415282249450684
0.0,17.0,0.2607085704803467,857.9805908203125,0.11749953776597977,0.0701942965388298
0.0,18.0,0.296115517616272,965.4935302734375,0.11418171972036362,0.015609299764037132
0.0,19.0,0.27474868297576904,903.1766357421875,0.14794692397117615,0.06695787608623505
0.0,20.0,0.3118102550506592,1046.4381103515625,0.10677585750818253,0.04936899617314339
0.0,21.0,0.26750481128692627,846.9669189453125,0.17971761524677277,0.06396743655204773
0.0,22.0,0.31078487634658813,964.334716796875,0.06158609315752983,0.016462862491607666
0.0,23.0,0.2624942362308502,863.6163940429688,0.10832909494638443,0.05133197456598282
0.0,24.0,0.27727705240249634,918.0343017578125,0.14699363708496094,0.0276203490793705
0.0,25.0,0.23862335085868835,734.6788330078125,0.11584866046905518,0.08637050539255142
0.0,26.0,0.29468488693237305,955.31787109375,0.13683567941188812,0.01524606067687273
0.0,27.0,0.296451210975647,967.820556640625,0.04123128578066826,0.015720689669251442
