seed,sample_idx,e_y_mse,e_y_nll,e_G,nmse
0.0,0.0,0.36305323243141174,1153.810546875,0.07903416454792023,0.07051850855350494
0.0,1.0,0.311379075050354,1030.964599609375,0.020263565704226494,0.006615121383219957
0.0,2.0,0.3335070013999939,1105.35986328125,0.05470342934131622,0.061432622373104095
0.0,3.0,0.3215537667274475,1110.192138671875,0.11571013182401657,0.06369802355766296
0.0,4.0,0.326973557472229,1066.6937255859375,0.05276519060134888,0.0741298720240593
0.0,5.0,0.3543938398361206,1165.9874267578125,0.07866932451725006,0.05321096256375313
0.0,6.0,0.3397713899612427,1135.3914794921875,0.062264587730169296,0.05538402870297432
0.0,7.0,0.33590900897979736,1070.298828125,0.10834186524152756,0.08887545764446259
0.0,8.0,0.35246220231056213,1129.3697509765625,0.05188070237636566,0.05280070751905441
0.0,9.0,0.3328942060470581,1054.0157470703125,0.048656363040208817,0.012861494906246662
0.0,10.0,0.35040852427482605,1150.7156982421875,0.05927347391843796,0.05289771780371666
0.0,11.0,0.32888904213905334,1081.4627685546875,0.06107600778341293,0.07789766788482666
0.0,12.0,0.34737685322761536,1077.7706298828125,0.12438181042671204,0.06386473774909973
0.0,13.0,0.33019712567329407,1099.0360107421875,0.019793804734945297,0.04887925088405609
0.0,14.0,0.3558027744293213,1123.130859375,0.16431857645511627,0.06131930276751518
0.0,15.0,0.3581697344779968,1148.6380615234375,0.06936871260404587,0.09011248499155045
0.0,16.0,0.3510291576385498,1153.6942138671875,0.04561487212777138,0.056973233819007874
0.0,17.0,0.34683117270469666,1141.40625,0.09992586076259613,0.07066330313682556
0.0,18.0,0.3212817311286926,1047.5487060546875,0.07714583724737167,0.016570106148719788
0.0,19.0,0.3612353801727295,1187.48291015625,0.15207017958164215,0.07972599565982819
0.0,20.0,0.3325931429862976,1116.1856689453125,0.0813121423125267,0.04842739924788475
0.0,21.0,0.349240243434906,1105.755615234375,0.14092127978801727,0.059628039598464966
0.0,22.0,0.33476030826568604,1038.7281494140625,0.009392648935317993,0.014888929203152657
0.0,23.0,0.3219341039657593,1059.1759033203125,0.046295300126075745,0.04403970018029213
0.0,24.0,0.3364911675453186,1114.0858154296875,0.11250454187393188,0.034731730818748474
